iter	Passed	Remaining
170	671	3253
171	672	3235
172	673	3218
173	674	3200
174	675	3182
175	676	3165
176	680	3164
177	683	3154
178	684	3139
179	685	3123
180	686	3106
181	687	3090
182	688	3074
183	689	3058
184	691	3046
185	694	3040
186	697	3032
187	699	3021
188	701	3008
189	707	3014
190	710	3008
191	714	3004
192	722	3019
193	725	3014
194	728	3008
195	730	2998
196	732	2985
197	739	2995
198	741	2983
199	742	2971
200	744	2959
201	746	2947
202	747	2935
203	749	2923
204	751	2913
205	752	2900
206	753	2888
207	755	2876
208	757	2866
209	759	2855
210	763	2854
211	764	2842
212	766	2833
213	768	2822
214	769	2811
215	771	2799
216	772	2787
217	774	2778
218	779	2780
219	781	2770
220	783	2760
221	784	2750
222	786	2739
223	787	2728
224	789	2720
225	795	2724
226	797	2715
227	799	2705
228	800	2694
229	802	2686
230	804	2677
231	809	2678
232	810	2669
233	812	2658
234	814	2651
235	816	2644
236	818	2634
237	825	2641
238	827	2635
239	830	2629
240	831	2618
241	832	2608
242	833	2597
243	834	2587
244	845	2605
245	847	2596
246	849	2589
247	851	2581
248	858	2588
249	861	2584
250	863	2575
251	864	2566
252	865	2556
253	866	2546
254	871	2544
255	873	2537
256	874	2528
257	875	2518
258	877	2509
259	878	2499
260	879	2490
261	880	2480
262	881	2471
263	886	2472
264	888	2465
265	889	2455
266	891	2446
267	892	2437
268	893	2427
269	894	2419
270	895	2410
271	941	2518
272	943	2511
273	945	2504
274	953	2514
275	955	2507
276	957	2500
277	959	2492
278	969	2505
279	972	2500
280	973	2492
281	978	2492
282	980	2485
283	982	2477
284	995	2497
285	998	2493
286	1000	2485
287	1002	2477
288	1004	2471
289	1006	2464
290	1010	2463
291	1012	2456
292	1014	2448
293	1016	2441
294	1018	2433
295	1020	2426
296	1026	2429
297	1029	2425
298	1031	2418
299	1035	2416
300	1041	2418
301	1044	2414
302	1046	2407
303	1048	2400
304	1050	2393
305	1060	2404
306	1063	2399
307	1065	2393
308	1067	2386
309	1100	2448
310	1103	2445
311	1105	2438
312	1107	2430
313	1109	2423
314	1111	2417
315	1113	2410
316	1115	2402
317	1122	2406
318	1124	2399
319	1126	2393
320	1128	2387
321	1130	2379
322	1134	2377
323	1136	2370
324	1137	2363
325	1139	2355
326	1172	2412
327	1173	2405
328	1178	2403
329	1183	2403
330	1187	2400
331	1189	2393
332	1191	2385
333	1192	2377
334	1193	2369
335	1194	2360
336	1200	2361
337	1201	2353
338	1202	2345
339	1204	2338
340	1206	2332
341	1207	2324
342	1208	2315
343	1209	2307
344	1216	2308
345	1217	2301
346	1219	2294
347	1220	2286
348	1221	2278
349	1222	2270
350	1223	2263
351	1224	2255
352	1225	2247
353	1230	2245
354	1232	2238
355	1233	2231
356	1234	2224
357	1235	2216
358	1236	2208
359	1238	2200
360	1239	2193
361	1240	2185
362	1244	2183
363	1246	2177
364	1247	2170
365	1249	2163
366	1250	2157
367	1251	2149
368	1252	2142
369	1253	2134
370	1254	2127
371	1255	2119
372	1260	2118
373	1262	2113
374	1264	2107
375	1265	2100
376	1267	2094
377	1269	2088
378	1275	2090
379	1277	2085
380	1279	2078
381	1280	2071
382	1281	2064
383	1282	2057
384	1283	2050
385	1284	2043
386	1285	2036
387	1288	2033
388	1290	2027
389	1291	2020
390	1292	2013
391	1294	2007
392	1295	2000
393	1296	1994
394	1297	1987
395	1298	1980
396	1299	1973
397	1300	1966
398	1301	1960
399	1307	1961
400	1309	1955
401	1310	1949
402	1311	1943
403	1312	1936
404	1314	1930
405	1316	1925
406	1319	1923
407	1321	1918
408	1323	1913
409	1325	1906
410	1326	1900
411	1327	1894
412	1328	1888
413	1329	1881
414	1330	1875
415	1331	1869
416	1336	1868
417	1338	1863
418	1340	1858
419	1341	1852
420	1342	1846
421	1343	1839
422	1344	1833
423	1345	1827
424	1346	1821
425	1347	1815
426	1352	1815
427	1354	1810
428	1355	1804
429	1356	1798
430	1358	1792
431	1359	1787
432	1360	1781
433	1361	1775
